Key,AR,Chinese Trad.,CZ,English(en),FR,DE,IN,HU,IT,JP,KR,MS,PL,PT,RO,RU,ES,TH,TR,VN
popup_gdpr_desc,"مرحبًا بك في X2!
لكي نقدم لك تجربة أفضل، نحتاج منك أن تقبل شروط الاستخدام و سياسة الخصوصية الخاصة بنا.","歡迎來到X2!
為了帶給您更好的遊戲體驗，
請接受《隱私權政策》
以及《使用條款》。","Welcome to X2!
In order to offer you  a better experience, we need you to accept our
<link=""https://unicostudio.co/terms.html""><u><color=#FFA400>Terms of Use</color></u></link> and <link=""https://unicostudio.co/privacy.html""><u><color=#FFA400>Privacy Policy</color></u></link>.","Welcome to X2!
In order to offer you  a better experience, we need you to accept our
<link=""https://unicostudio.co/terms.html""><u><color=#FFA400>Terms of Use</color></u></link> and <link=""https://unicostudio.co/privacy.html""><u><color=#FFA400>Privacy Policy</color></u></link>.","En touchant Accepter et continuer, vous confirmez que vous avez lu et que vous acceptez nos <link=""https://unicostudio.co/terms.html""><#C7F463>conditions d’utilisation</color></link> et notre <link=""https://unicostudio.co/privacy.html""><#C7F463>politique de confidentialité</color></link>.","Willkommen bei X2! Indem du auf „Akzeptieren und fortfahren“ tippst, bestätigst du dein Einverständnis mit unserer <link=""https://unicostudio.co/terms.html""><#C7F463>Nutzungsbedingungen</color></link> und <link=""https://unicostudio.co/privacy.html""><#C7F463>Datenschutzerklärung</color></link>.","Dengan menekan tombol Terima dan Lanjutkan, Anda mengonfirmasi bahwa Anda telah meninjau dan menerima <link=""https://unicostudio.co/terms.html""><#C7F463>Syarat Penggunaan</color></link> dan <link=""https://unicostudio.co/privacy.html""><#C7F463>Kebijakan Privasi</color></link>.","Az Elfogadás és folytatás gomb megnyomásával megerősíted, hogy átnézted és elfogadtad a <link=""https://unicostudio.co/terms.html""><#C7F463>Felhasználási feltételeket</color></link> és az <link=""https://unicostudio.co/privacy.html""><#C7F463>Adatvédelmi irányelveket</color></link>.","Toccando Accetta e Continua, confermi di aver letto e accettato le nostre <link=""https://unicostudio.co/terms.html""><#C7F463>Condizioni di Utilizzo</color></link> e <link=""https://unicostudio.co/privacy.html""><#C7F463>Normativa sulla Privacy</color></link>.","「承諾して続ける」をタップすることで、当社の<link=""https://unicostudio.co/terms.html""><#C7F463>利用規約</color></link>と<link=""https://unicostudio.co/privacy.html""><#C7F463>プライバシーポリシー</color></link>を確認し、同意したことになります。","<link=""https://unicostudio.co/terms.html""><#C7F463>이용 약관</color></link> 및 <link=""https://unicostudio.co/privacy.html""><#C7F463>개인 정보 보호 정책</color></link>을 검토하고 수락한다면 동의 및 계속을 선택하세요.","Dengan mengetik Terima dan Teruskan, anda mengesahkan bahawa anda telah mengkaji dan menerima <link=""https://unicostudio.co/terms.html""><#C7F463>Terma Penggunaan</color></link> dan <link=""https://unicostudio.co/privacy.html""><#C7F463>Dasar Privasi kami</color></link>.","Naciskając przycisk Zaakceptuj i kontynuuj, potwierdzasz, że znasz i wyrażasz zgodę na nasze <link=""https://unicostudio.co/terms.html""><#C7F463>Warunki użytkowania</color></link> oraz <link=""https://unicostudio.co/privacy.html""><#C7F463>Politykę prywatności</color></link>.","Ao clicar em Aceitar e Continuar, você confirma que leu e aceitou nossos <link=""https://unicostudio.co/terms.html""><#C7F463>Termos de Uso</color></link> e <link=""https://unicostudio.co/privacy.html""><#C7F463>Política de Privacidade</color></link>.","Bine ai venit la X2!
Pentru o experiență mai plăcută, trebuie să accepți Termenii și Condițiile, precum și Politicile de Confidențialitate.","Нажав принять и продолжить, вы подтверждаете что ознакомились и согласились с нашими <link=""https://unicostudio.co/terms.html""><#C7F463>Условиями использования</color></link> и <link=""https://unicostudio.co/privacy.html""><#C7F463>Политикой конфиденциальности</color></link>.","Al tocar Aceptar y continuar, confirmas que leíste y aceptaste nuestros <link=""https://unicostudio.co/terms.html""><#C7F463>Términos de uso</color></link> y nuestra <link=""https://unicostudio.co/privacy.html""><#C7F463>Política de privacidad</color></link>.","เมื่อคุณกดยอมรับและดำเนินการต่อ
เป็นการยืนยันว่าคุณได้อ่านและยอมรับ
<link=""https://unicostudio.co/terms.html""><#C7F463>ข้อกำหนดการใช้งาน</color></link>และ
<link=""https://unicostudio.co/privacy.html""><#C7F463>นโยบายความเป็นส่วนตัว</color></link>
ของเราแล้ว","X2'e hoş geldiniz!
Size daha iyi bir deneyim sunabilmemiz için, şartlarımızı kabul etmenize ihtiyacımız var.
<link=""https://unicostudio.co/terms.html""><u><color=#FFA400>Kullanım Şartları</color></u></link> ve <link=""https://unicostudio.co/privacy.html""><u><color=#FFA400>Gizlilik Politikası</color></u></link>.","Bằng cách nhấn vào Chấp nhận và Tiếp tục, bạn xác nhận rằng mình đã xem và chấp nhận <link=""https://unicostudio.co/terms.html""><#C7F463>Điều khoản Sử dụng</color></link> và <link=""https://unicostudio.co/privacy.html""><#C7F463>Chính sách Bảo mật</color></link> của chúng tôi."
accept_and_continue,قبول ومتابعة,接受並繼續,Přijmout a pokračovat,Accept and Continue,Accepter et Continuer,AKZEPTIEREN UND FORTFAHREN,Setuju dan Lanjut,Elfogadás és folytatás,Accetta e continua,同意して続行,동의 및 계속,Terima dan Teruskan,Zaakceptuj i kontynuuj,ACEITAR E CONTINUAR,Acceptă și Continuă,Принять и продолжить,Aceptar y Continuar,ยอมรับและดำเนินการต่อ,KABUL ET VE DEVAM ET,Chấp nhận và tiếp tục
loading,تحميل...,載入中...,Načítání…,Loading...,Chargement...,Lädt …,Memuat ...,Betöltés...,Caricamento...,読み込み中...,불러오는 중...,Memuatkan...,Wczytywanie...,Carregando...,Se încarcă...,Загрузка...,Cargando...,กำลังโหลด...,Yükleniyor...,Đang tải...
celebrate_strings,مذهل - مثالي - رائع - ممتاز - جيد جدا - مدهش - تم الإنجاز بشكل ممتاز - لا يصدق - عمل رائع - جيد,很棒-完美-好極了-出色-優秀-極佳-絕妙-傑出-做得好-非凡-漂亮-出色-棒極了,ÚŽASNÉ-PERFEKTNÍ-SKVĚLÉ-NESKUTEČNÉ-BÁJEČNÉ-VYNIKAJÍCÍ-NEUVĚŘITELNÉ-VÝBORNĚ-BRAVO-FANTASTICKÉ-NÁDHERA-PARÁDA-DOBRÁ PRÁCE,AMAZING-PERFECT-WONDERFUL-TERRIFIC-FABULOUS-SUPERB-PRODIGIOUS-SPLENDID-WELL DONE-INCREDIBLE-FANTASTIC-ASTONISHING-GOOD JOB,GÉNIAL-PARFAIT-MERVEILLEUX-SUPERBE-FABULEUX-JOLI-MAGNIFIQUE-BIEN JOUÉ-FANTASTIQUE-BEAU TRAVAIL-IMPRESSIONNANT-FORMIDABLE-ROYAL,BEEINDRUCKEND-PERFEKT-WUNDERVOLL-GENIAL-UMWERFEND-SUPER-WUNDERBAR-WAHNSINN-GUT GEMACHT-UNGLAUBLICH-FANTASTISCH-ERSTAUNLICH-GUTE ARBEIT,LUAR BIASA-SEMPURNA-HEBAT-JEMPOLAN-KEREN-SUPER-PINTAR-MANTAP-BAIK SEKALI-MENAKJUBKAN-FANTASTIS-MENGAGUMKAN-BAGUS,FANTASZTIKUS-TÖKÉLETES-HIHETETLEN-LENYŰGÖZŐ-POMPÁS-SZUPER-ŐRÜLETES-ELLENÁLLHATATLAN-PRÍMA-KITŰNŐ-ZSENIÁLIS-FENOMENÁLIS-RENDKÍVÜLI,FANTASTICO-PERFETTO-MAGNIFICO-MERAVIGLIOSO-FAVOLOSO-SPLENDIDO-STUPEFACENTE-SORPRENDENTE-BEN FATTO-OTTIMO-INCREDIBILE-PAZZESCO-OTTIMO LAVORO,お見事 - パーフェクト - ワンダフル - 素晴らしい - 素晴らしい - 素晴らしい - 特別な - 素晴らしい - よくできました - 信じられないほど - ファンタスティック - 驚異的 - 良い仕事,놀라워요-완벽해요-멋져요-훌륭해요-훌륭한-뛰어나요-대단해요-훌륭해요-잘 했어요-믿을 수 없어요-환상적입니다-놀라워요-잘했어요,MENAKJUBKAN-SEMPURNA-HEBAT-BAGUS-MEMUASKAN-MENARIK-MENGAGUMKAN-CEMERLANG-PINTAR-SYABAS-LUAR BIASA-MENAKJUBKAN-KERJA YANG BAIK,NIESAMOWICIE-IDEALNIE-CUDOWNIE-WSPANIALE-FANTASTYCZNIE-DOSKONALE-MISTRZOWSKO-ZNAKOMICIE-ŚWIETNIE-GENIALNIE-FENOMENALNIE-REWELACYJNIE-KAPITALNIE,INCRÍVEL-PERFEITO-ÓTIMO-DEMAIS-FABULOSO-SOBERBO-PRODIGIOSO-ESPLÊNDIDO-PARABÉNS-ESPETACULAR-FANTÁSTICO-BRILHANTE-BOM TRABALHO,ULUITOR-PERFECT-MINUNAT-EXCELENT-FABULOS-SUPERB-FENOMENAL-SPLENDID-BINE LUCRAT-INCREDIBIL-FANTASTIC-REMARCABIL-BUNĂ TREABĂ,ВОСХИТИТЕЛЬНО-ОТЛИЧНО-ПОТРЯСАЮЩЕ-ПРЕКРАСНО-НЕВЕРОЯТНО-ВЕЛИКОЛЕПНО-ИЗУМИТЕЛЬНО-ПРЕВОСХОДНО-СУПЕР-НЕВЕРОЯТНО-ФАНТАСТИКА-ОШЕЛОМИТЕЛЬНО-НЕСРАВНЕННО,INCREÍBLE-PERFECTO-MARAVILLOSO-FANTÁSTICO-FABULOSO-MAGNÍFICO-PRODIGIOSO-ESPLÉNDIDO-BIEN HECHO-GENIAL-ASOMBROSO-BUEN TRABAJO,มหัศจรรย์-สมบูรณ์แบบ-อัศจรรย์-สุดยอด-ดีเลิศ-ที่สุด-มีพรสวรรค์-วิเศษ-ดีมาก-เหลือเชื่อ-เจ๋ง-น่าอัศจรรย์-ทำได้ดี,MUHTEŞEM-MÜKEMMEL-KUSURSUZ-MÜTHİŞ-ŞAHANE-ÇOK GÜZEL-OLAĞANÜSTÜ-HARİKA-İNANILMAZ-ŞAŞIRTICI-AFERİN-EFSANEVİ-İNANILMAZ-ŞAŞIRTICI-TEBRİKLER-FANTASTİK-HELAL OLSUN SANA,TUYỆT VỜI-HOÀN HẢO-HOÀN MỸ-HẾT CHỖ CHÊ-ĐỈNH CAO-SIÊU CẤP-PHI THƯỜNG-TUYỆT ĐỈNH-XUẤT SẮC-THÔNG MINH-SÁNG SUỐT-BÁ ĐẠO-HAY LẮM
contact_us,اتصل بنا,聯繫我們,Kontaktuj nás,Contact Us,Contactez-nous,Kontaktiere uns,Hubungi kami,Lépj velünk kapcsolatba!,Contattaci,お問い合わせ,문의하기,Hubungi Kami,Skontaktuj się z nami,Contate-nos,Contactează-ne,Связаться с нами,Contáctenos,ติดต่อเรา,Bize Ulaşın,Liên hệ chúng tôi
your_highest_block,أكبر كتلة لديك,你的最高街區,TVŮJ NEJVĚTŠÍ BLOK,YOUR HIGHEST BLOCK,VOTRE BLOC LE PLUS ÉLEVÉ,IHR HÖCHSTER BLOCK,BLOK TERTINGGIMU,LEGNAGYOBB SZÁM,IL TUO BLOCCO PIÙ ALTO,只今の最高値,가장 높은 블록,BLOK TERTINGGI ANDA,TWÓJ NAJWYŻSZY BLOK,SEU BLOCO MAIS ALTO,CĂSUȚA CEA MAI MARE,КУБИК С НАИБОЛЬШИМ ЧИСЛОМ,TU BLOQUE MÁS ALTO,บล็อกสูงสุดของคุณ,EN YÜKSEK BLOĞUNUZ,KHỐI CAO NHẤT CỦA BẠN
free,مجانًا,免費,ZDARMA!,FREE!,Gratuit,Gratis,Gratis,Ingyenes,Gratis,無料,무료,Percuma,Za darmo,Grátis,GRATUIT!,Даром,Gratis,ฟรี,Ücretsiz,Miễn phí
special_offer,تخفيضات,促銷,SLEVA,SPECIAL OFFER,SOLDES,ANGEBOT,OBRAL,Különleges ajánlat,OFFERTA,セール,할인,JUALAN MURAH,PROMOCJA,PROMOÇÃO,OFERTĂ SPECIALA,РАСПРОДАЖА,PROMO,ข้อเสนอพิเศษ,İNDİRİM,GIẢM GIÁ
spinwheel,أدر العجلة,紡車,KOLO ŠTĚSTÍ,SPINWHEEL,ROUE TOURNANTE,DREHRAD,RODA PUTAR,KERÉK,GIREVOLE,スピンホイール,돌림판,RODA PUTAR,OBRACAJĄCE SIĘ KOŁO,RODA,ROATA NOROCULUI,КОЛЕСО,RUEDA GIRATORIA,ล้อหมุน,ÇARK,bánh xe quay
spin,دورّها,轉動,ZATOČIT,SPIN,Tourner,Drehen,Putar,Pörgetés,Gira,スピン,회전,Putar,Zakręć,Girar,ÎNVÂRTE,Крутить,Girar,หมุน,Çevir,Quay
ready,就緒！,就緒！,Připraveno!,Start!,Prêt !,Bereit!,Siap!,Kész!,Andiamo!,準備完了！,준비 완료,Sedia!,Start!,Pronto!,Start!,Готово!,¡Listo!,พร้อม!,Hazır!,Sẵn sàng!
coolest_offer,أفضل عرض,超酷優惠,NEJÚŽASNĚJŠÍ NABÍDKA,COOLEST OFFER!,OFFRE LA PLUS COOL,COOLES ANGEBOT,PENAWARAN TERKEREN,LEGJOBB AJÁNLAT!,OFFERTA IMPERDIBILE,最高のオファー,가장 멋진 할인,TAWARAN TERHEBAT,NAJLEPSZA OFERTA,OFERTA INCRÍVEL,CEA MAI COOL OFERTA!,ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ,OFERTA INCREÍBLE,ข้อเสนอสุดเจ๋ง,EN HAVALI TEKLİF,ƯU ĐÃI CỰC ĐỈNH
day,اليوم {0},第{0}天,Den {0},Day {0},Jour {0},Tag {0},Hari {0},{0}. nap,Giorno {0},{0}日目,{0}일,Hari {0},Dzień {0},Dia {0},Ziua {0},{0} день,Día {0},วันที่ {0},{0}. Gün,Ngày {0}
combo,كومبو{0},連擊 {0},KOMBINACE {0},Combo {0},COMBO {0},KOMBO {0},KOMBO {0},{0} KOMBÓ,COMBO {0},{0}コンボ,{0}콤보,KOMBO {0},KOMBINACJA {0},COMBO {0},Combo {0},КОМБО {0},COMBO {0},คอมโบ {0},KOMBO {0},COMBO {0}
biggest_offer,أكبر عرض!,最大優惠！,Největší nabídka!,Biggest Offer!,Meilleure offre !,Größtes Angebot!,Penawaran Terbesar!,Megaajánlat,Offerta Migliore!,ビッグセール！,가장 큰 제안!,Tawaran Terbesar!,Największa oferta!,Maior Oferta,Cea Mai Bună Ofertă!,Самое выгодное предложение!,¡La Mejor Oferta!,ข้อเสนอที่ใหญ่ที่สุด!,En Büyük Teklif!,Ưu đãi lớn nhất!
language_string,اللغة,語言,Jazyk,Language,Langue,Sprache,Bahasa,Nyelv,Lingua,言語,언어,Bahasa,Jezyk,Idioma,Limba,ЯЗЫК,Idioma,ภาษา,Dil,Ngôn Ngữ
language_desc,اختر لغتك,選擇您的語言,Vyber si svůj jazyk,Choose Your Language,Choisissez votre langue,Wählen Sie Ihre Sprache,Pilih Bahasamu,Válaszd ki a nyelvet,Scegli la tua lingua,言語を選択してください,언어 선택,Pilih Bahasa Anda,Wybierz swój język,Escolha o seu idioma,Alege limba,Выберите язык, Seleccione su idioma,เลือกภาษาของคุณ,Dilinizi Seçin,Chọn ngôn ngữ của bạn
great,رائع!,太棒了！,SKVĚLE!,GREAT!,Génial !,Großartig!,Hebat!,SZUPER!,Fantastico!,素晴らしい！,대단해요! ,Hebat!,Świetnie!,Ótimo!,Grozav!,Отлично!,¡Genial!, ดีมาก!,HARİKA!,Tuyệt vời!
share_now,شارك الآن,立即分享,Sdílet nyní,Share Now,Partager,Jetzt teilen,Bagikan Sekarang,Megosztás,Condividi Ora,今すぐシェア ,지금 공유하기,Kongsi Sekarang,Udostępnij teraz,Compartilhar Agora,Distribuie Acum,Поделиться,Compartir Ahora,แชร์เดี๋ยวนี้ ,Şimdi Paylaş,Chia sẻ ngay bây giờ
achievement_unlocked,تم إتمام الإنجاز,解鎖成就,Úspěch odemčen,Achievement Unlocked,Succès débloqué,Erfolg freigeschaltet,Pencapaian Diraih,Teljesítmény feloldva,Obiettivo Sbloccato,達成解除！,업적 잠금 해제!,Kejayaan Berjaya Dibuka,Osiągnięcie odblokowane,Conquista Desbloqueada,Obiectiv Deblocat,Достижение разблокировано,Logro Desbloqueado,ปลดล็อคความสำเร็จแล้ว,Başarı Kazanıldı,Đã đạt được thành tựu
beat_this_record,هل يمكنك تحطيم هذا الرقم القياسي؟, 你能打破這個紀錄嗎？,Dokážeš překonat tento rekord?,CAN YOU BEAT THIS RECORD?,Pouvez-vous faire mieux ?,Kannst du diesen Rekord schlagen?,Mampu memecahkan rekor ini?,Sikerül megdöntened a rekordot?,Puoi battere questo record?,この記録を破ることができますか？,이 기록을 뛰어넘을 수 있나요?,Bolehkah Anda mengatasi rekod ini?,Czy możesz pobić ten rekord?,Você consegue bater este recorde?,POȚI BATE RECORDUL?,Сможете побить этот рекорд?,Puedes superar este récord?,คุณสามารถเอาชนะสถิตินี้ได้หรือไม่?,Bu rekoru kırabilir misin?,Bạn có thể vượt qua kỷ lục này không?
enter_message_here,الرجاء عدم تعديل هذا,請在此輸入您的訊息。,"Prosím, zadejte svou zprávu zde.",Please Enter your message here,Veuillez saisir votre message ici.,Bitte geben Sie hier Ihre Nachricht ein.,Silakan masukkan pesan Anda di sini.,"Kérjük, írja be az üzenetét itt.",Inserisci il tuo messaggio qui.,メッセージをここに入力してください。,메시지를 여기에 입력하세요.,Sila masukkan mesej anda di sini.,Proszę wpisać swoją wiadomość tutaj.,"Por favor, insira sua mensagem aqui.",Vă rugăm să introduceți mesajul dvs. aici.,"Пожалуйста, введите ваше сообщение здесь.","Por favor, ingrese su mensaje aquí.",กรุณากรอกข้อความของคุณที่นี่,Lütfen buraya mesajınızı girin,Vui lòng nhập tin nhắn của bạn ở đây.
dont_modify_this,الرجاء إدخال رسالتك هنا.,請勿更改此項目。,"Prosím, neupravujte to.",Please Do Not Modify This,Veuillez ne pas modifier ceci.,Bitte ändern Sie dies nicht.,Tolong jangan mengubah ini.,"Kérjük, ne módosítsa ezt.","Per favore, non modificare questo.",これを変更しないでください。,이것을 수정하지 마십시오.,Sila jangan mengubah ini.,Proszę nie modyfikować tego.,"Por favor, não modifique isso.",Vă rugăm să nu modificați acest lucru.,"Пожалуйста, не изменяйте это.","Por favor, no modifique esto.",โปรดอย่าแก้ไขสิ่งนี้,Lütfen bunu değiştirmeyin,Xin đừng sửa đổi điều này.
leaderboard,لوحة الزعماء,排行榜,ŽEBŘÍČEK,LEADERBOARD,TABLEAU DE BORD DES LEADERS,RANGLISTE,PAPAN PEMIMPIN,VEZETŐTÁBLA,CLASSIFICA / GLOBALE / REGIONALE,リーダーボード,리더 보드,PAPAN PIMPINAN,TABLICA LIDERÓW,TABELA DE LÍDERES,CLASAMENT,ДОСКА ЛИДЕРОВ,TABLERO DE LÍDERES,ตารางผู้นำ,LİDERLİK TABLOSU, BẢNG XẾP HẠNG
global,عالمي,全球,GLOBÁLNÍ,GLOBAL,GLOBAL,GLOBAL,GLOBAL,GLOBÁLIS,GLOBALE,グローバル,글로벌, GLOBAL,GLOBALNA,GLOBAL,GLOBAL,ГЛОБАЛЬНАЯ,GLOBAL,ทั่วโลก,GLOBAL,TOÀN CẦU
regional,إقليمي,地區,REGIONÁLNÍ,REGIONAL,RÉGIONAL,REGIONAL,REGIONAL,REGIONÁLIS,REGIONALE,リージョナル,리전별,RANTAU,REGIONALNA,REGIONAL,REGIONAL,РЕГИОНАЛЬНАЯ,REGIONAL,ภูมิภาค,BÖLGESEL,VÙNG LÃNH THỔ
january,يناير,一月,LEDEN,JANUARY,JANVIER,JANUAR,JANUARI,JANUÁR,GENNAIO,1月,1월,JANUARI,STYCZEŃ,JANEIRO,IANUARIE,ЯНВАРЬ,ENERO,มกราคม,OCAK,THÁNG GIÊNG
february,شهر فبراير,二月,ÚNOR,FEBRUARY,FÉVRIER,FEBRUAR,FEBRUARI,FEBRUÁR,FEBBRAIO,2月,2월,FEBRUARI,LUTY,FEVEREIRO,FEBRUARIE,ФЕВРАЛЬ,FEBRERO,กุมภาพันธ์,ŞUBAT,THÁNG 2
march,يمشي,行進,BŘEZEN,MARCH,MARS,MARSCH,BERBARIS,MÁRCIUS,MARZO,行進,3월,MAC,MARSZ,MARCHAR,MARTIE,МАРШИРОВАТЬ,MARZO,มีนาคม,MART,BƯỚC ĐỀU
april,أبريل,四月,DUBEN,APRIL,AVRIL,APRIL,APRIL,ÁPRILIS,APRILE,エイプリル,4월,APRIL,KWIECIEŃ,ABRIL,APRILIE,АПРЕЛЬ,ABRIL,เมษายน,NİSAN,THÁNG TƯ
may,يمكن,可能,SMĚT,MAY,PEUT,DÜRFEN,MUNGKIN,LEHET,MAGGIO,5月,5월,MUNGKIN,MÓC,PODERIA,MAI,МОЖЕТ,PUEDE,อาจ,MAYIS,CÓ THỂ
june,يونيو,六月,ČERVEN,JUNE,JUIN,JUNI,JUNI,JÚNIUS,GIUGNO,六月,6월,JUN,CZERWIEC,JUNHO,IUNIE,ИЮНЬ,JUNIO,มิถุนายน,HAZİRAN,THÁNG SÁU
july,يوليو,七月,ČERVENEC,JULY,JUILLET,JULI,JULI,JÚLIUS,LUGLIO,7月,칠월,JULAI,LIPIEC,JULHO,IULIE,ИЮЛЬ,JULIO,กรกฎาคม,TEMMUZ,THÁNG BẢY
august,أغسطس,八月,SRPEN,AUGUST,AOÛT,AUGUST,AGUSTUS,AUGUSZTUS,AGOSTO,8月,팔월,OGOS,SIERPIEŃ,AGOSTO,AUGUST,АВГУСТ,AGOSTO,สิงหาคม,AĞUSTOS,THÁNG TÁM
september,سبتمبر,九月,ZÁŘÍ,SEPTEMBER,SEPTEMBRE,SEPTEMBER,SEPTEMBER,SZEPTEMBER,SETTEMBRE,9月,구월,SEPTEMBER,WRZESIEŃ,SETEMBRO,SEPTEMBRIE,СЕНТЯБРЬ,SEPTIEMBRE,กันยายน,EYLÜL,THÁNG 9
october,اكتوبر,十月,ŘÍJEN,OCTOBER,OCTOBRE,OKTOBER,OKTOBER,OKTÓBER,OTTOBRE,10月,십월,OKTOBER,PAŹDZIERNIK,OUTUBRO,OCTOMBRIE,ОКТЯБРЬ,OCTUBRE,ตุลาคม,EKİM,THÁNG MƯỜI
november,شهر نوفمبر,十一月,LISTOPAD,NOVEMBER,NOVEMBRE,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBRE,11月,십일월,NOVEMBER,LISTOPAD,NOVEMBRO,NOIEMBRIE,НОЯБРЬ,NOVIEMBRE,พฤศจิกายน,KASIM,THÁNG MƯỜI MỘT
december,ديسمبر,十二月,PROSINEC,DECEMBER,DÉCEMBRE,DEZEMBER,DESEMBER,DECEMBER,DICEMBRE,12月,12월,DISEMBER,GRUDZIEŃ,DEZEMBRO,DECEMBRIE,ДЕКАБРЬ,DICIEMBRE,ธันวาคม,ARALIK,THÁNG 12
select_avatar,حدد الصورة الرمزية,選擇頭像,Vyberte Avatar,Select Avatar,Sélectionnez Avatar,Wählen Sie Avatar,Pilih Avatar,Válassza az Avatar lehetőséget,Seleziona Avatar,アバターを選択,아바타 선택,Pilih Avatar,Wybierz Awatara,Selecione o avatar,Selectați Avatar,Выберите аватар,Seleccionar avatar,เลือก อวาตาร์,Avatar Seç,Chọn hình đại diện
nickname,كنية,暱稱,Přezdívka,Nickname,Surnom,Spitzname,Nama panggilan,Becenév,Soprannome,ニックネーム,별명,nama samaran,Przezwisko,Apelido,Poreclă,Псевдоним,Apodo,ชื่อเล่น,Takma Ad,Tên nick
piggybank,حصالة,小豬儲蓄罐,PRASÁTKO,PIGGYBANK,TIRELIRE,SPARSCHWEIN,CELENGAN,MALACPERSELY,SALVADANAIO,貯金箱,돼지 저금통,TABUNG DUIT,ŚWINKA SKARBONKA,COFRINHO,PUȘCULIȚĂ,КОПИЛКА,ALCANCÍA,หมูออมสิน,KUMBARA,HEO ĐẤT
all_times,جميع الأوقات,總榜,Celkem,All Times,Total,Rekorde,Total,Mindenkori,Totale,総合,역대,Sepanjag Masa,Caly Czas,Total,Toate Timpurule,все время,Total,ตลอดเวลา,Tüm Zamanlar,Tất Cả Thời Gian
submit,إرسال,送出,Odeslat,SUBMIT,Envoyer,SENDEN,Kirim,Kész,INVIA,送信,보내기,HANTAR,Wyślij,ENVIAR,TRIMITE,Отправить,ENVIAR,ส่ง,GÖNDER,GỬI
validation_info, يجب أن يكون طول اسم المستخدم بين 5 و 15 حرفًا,用戶名必須為5-15個字符。,Uživatelské jméno musí být 5-15 znaků.,Username must be 5-15 characters,Le nom d'utilisateur doit comporter entre 5 et 15 caractères,Der Benutzername muss 5-15 Zeichen lang sein,Username harus terdiri dari 5-15 karakter,A felhasználónévnek 5-15 karakterből kell állnia., Il nome utente deve essere composto da 5-15 caratteri, ユーザー名は5〜15文字である必要があります。,사용자 이름은 5-15 자 여야합니다,Panjang nama pengguna mestilah antara 5 hingga 15 aksara,Nazwa użytkownika musi mieć od 5 do 15 znaków.,O nome de usuário deve ter entre 5 e 15 caracteres.,Numele de utilizator trebuie să aibă între 5 și 15 caractere,Длина имени пользователя должна быть от 5 до 15 символов,El nombre de usuario debe tener entre 5 y 15 caracteres, ชื่อผู้ใช้ต้องมีความยาว 5-15 ตัวอักษร,Kullanıcı adı 5-15 karakter olmalı,Tên người dùng phải có độ dài từ 5-15 ký tự.
shuffle,خلط,洗牌,Zamíchat,Shuffle,Mélanger,Mischen,Keverés,Acak,Mescolare,シャッフルする,섞다,Kocak,Tasować,Embaralhar,Amesteca,Перемешать,Mezclar,การสลับ,Karıştır,Trộn
step,خطوة {0},步驟 {0},Krok {0},Step {0},Étape {0},Schritt {0},Langkah {0},Lépés {0},Passo {0},ステップ {0},단계 {0},Langkah {0},Krok {0},Passo {0},Pasul {0},Шаг {0},Paso {0},ขั้นตอนที่ {0},Adım {0},Bước {0}
reached_step,لقد وصلت إلى الخطوة {0},您已到達步驟 {0},Dosáhli jste kroku {0},You have reached step {0},Vous avez atteint l'étape {0},Sie haben Schritt {0} erreicht,Anda telah mencapai langkah {0},Elérted a(z) {0} lépést,Hai raggiunto il passo {0},ステップ {0} に到達しました,단계 {0}에 도달했습니다,Anda telah mencapai langkah {0},Osiągnąłeś krok {0},Você atingiu o passo {0},Ați ajuns la pasul {0},Вы достигли шага {0},Has llegado al paso {0},คุณได้เข้าสู่ขั้นตอนที่ {0},{0}. Adıma ulaştınız,Osiągnąłeś krok {0}
vibration,اهتزاز,震动,Vibrace,Vibration,Vibration,Vibration,Getaran,Rezgés,Vibrazione,振動,진동,Getaran,Wibracja,Vibração,Vibraţie,Вибрация,Vibración,การสั่น,Titreşim,Rung
music,موسيقى,音樂,Hudba,Music,Musique,Musik,Musik,Zene,Musica,音楽,음악,Muzik,Muzyka,Música,Muzică,Музыка,Música,เพลง,Müzik,Nhạc
on,فعال,打开,Zapnuto,On,Allumé,An,Hidup,Be,Acceso,オン,켜짐,Hidup,Włączony,Ligado,Pornit,Включено,Encendido,เปิด,Açık,Bật
off,إيقاف,关闭,Vypnuto,Off,Éteint,Aus,Mati,Ki,Spento,オフ,꺼짐,Mati,Wyłączony,Desligado,Oprit,Выключено,Apagado,ปิด,Kapalı,Tắt
profile,ملف,档案,Profil,Profile,Profil,Profil,Profil,Profil,Profilo,プロフィール,프로필,Profil,Profil,Perfil,Profil,Профиль,Perfil,โปรไฟล์,Profil,Hồ sơ
rank,رتبة,等级,Řada,Rank,Rang,Rang,Peringkat,Rang,Grado,階級,계급,Peringkat,Ranga,Grau,Grad,Ранг,Rango,ระดับ,Sıra,Hang
highest_score,أعلى درجة,最高分,Nejvyšší Skóre,Highest Score,Meilleur Score,Höchste Punktzahl,Skor Tertinggi,Legmagasabb Pontszám,Punteggio più alto,最高スコア,최고 점수,Skor tertinggi,Najwyższy wynik,Pontuação mais alta,Cel mai mare scor,Самый высокий счет,Puntuación más alta,คะแนนสูงสุด,En yüksek puan,Điểm số cao nhất
